revision,value
795028,31755635.0
795054,32164803.0
795105,32088958.0
795161,32241656.0
795207,32399136.0
795254,32581892.0
795300,32690130.0
795324,32360497.0
795341,32595706.0
795354,32976759.0
795377,32452460.0
795390,32738462.0
795394,32694324.0
795428,32187794.0
795449,32020321.0
795467,32571757.0
795490,32640704.0
795529,32967441.0
795568,32785307.0
795623,32271477.0
795631,32392299.0
795639,32408445.0
795693,32692586.0
795733,31816161.0
795795,29558237.0
795811,32133654.0
795825,31987473.0
795842,31865159.0
795863,32005483.0
795880,32355298.0
795904,32017238.0
795938,32794053.0
795992,32466718.0
796033,32445503.0
796074,32328164.0
796123,32268976.0
796148,32261854.0
796190,32497368.0
796210,32193609.0
796214,32307326.0
796221,32054258.0
796224,31772369.0
796228,32869393.0
796233,32677176.0
796234,32707252.0
796235,32404348.0
796242,32020105.0
796248,31899176.0
796251,29158308.0
796253,32348116.0
796255,32589471.0
796258,32695998.0
796263,30250905.0
796264,32825392.0
796266,32600336.0
796268,33095602.0
796271,32793554.0
796273,32633283.0
796275,32393826.0
796277,32328682.0
796278,32522150.0
796283,29739975.0
796289,32739246.0
796293,32168047.0
796296,32894849.0
796305,32880588.0
796319,32641198.0
796331,32385953.0
796350,32017325.0
796368,32491169.0
796390,32473646.0
796424,31953868.0
796454,32564804.0
796462,32313383.0
796518,32607907.0
796561,32545125.0
796620,32509795.0
796674,32734202.0
796703,31969618.0
796719,32480512.0
796727,32301782.0
796751,32639326.0
796771,32007401.0
796787,32037697.0
796813,31819326.0
796853,31307629.0
796895,31958837.0
796922,31681400.0
796945,32042265.0
796979,32332874.0
797025,31670989.0
797048,31829026.0
797061,31895233.0
797113,32556953.0
797141,31837111.0
797156,32104825.0
797170,32200285.0
797189,32163180.0
797207,32310010.0
797230,31782063.0
797269,32577752.0
797299,31998933.0
797351,31326718.0
797410,28801397.0
797447,32085390.0
797481,32181778.0
797515,31811825.0
797536,31579017.0
797554,32011273.0
797558,31904897.0
797562,32119702.0
797590,32420763.0
797614,31702592.0
797631,31859413.0
797657,31827200.0
797687,31507654.0
797711,31685639.0
797761,31649061.0
797786,32023932.0
797844,31365349.0
797883,32191431.0
797905,31417109.0
797938,32278808.0
797960,31840414.0
797989,31632237.0
798022,32435359.0
798052,31349540.0
798067,31986583.0
798077,32325315.0
798092,32154599.0
798110,31837415.0
798156,31516344.0
798194,29492060.0
798234,31685538.0
798279,32144940.0
798317,31905490.0
798353,32263274.0
798387,32128464.0
798423,31668789.0
798430,31449702.0
798435,31446857.0
798441,31786347.0
798442,31832593.0
798444,32304038.0
798448,32124975.0
