revision,value
795028,205720340.0
795054,207243784.0
795105,205438741.0
795161,205858409.0
795207,202758503.0
795254,205101180.0
795300,205182011.0
795324,205647614.0
795341,205987982.0
795354,205235151.0
795377,205289566.0
795390,204993767.0
795394,205694846.0
795428,205993553.0
795449,205145854.0
795467,206479414.0
795490,206628987.0
795529,206557815.0
795568,205480051.0
795623,202891901.0
795631,204423907.0
795639,203796260.0
795693,205747529.0
795733,204007744.0
795795,200154110.0
795811,202502594.0
795825,203429573.0
795842,202586562.0
795863,202306730.0
795880,203639504.0
795904,201772344.0
795938,203660573.0
795992,204545977.0
796033,202850421.0
796074,203736676.0
796123,203774499.0
796148,201983487.0
796190,202926951.0
796210,203788829.0
796214,201974102.0
796221,203647229.0
796224,202870376.0
796228,204461947.0
796233,203296488.0
796234,202891357.0
796235,202983889.0
796242,203178555.0
796248,202655403.0
796251,199631703.0
796253,204066467.0
796255,204173993.0
796258,202631661.0
796263,200320333.0
796264,205192934.0
796266,204916165.0
796268,201863376.0
796271,204127767.0
796273,204349918.0
796275,204935306.0
796277,200455060.0
796278,202871190.0
796283,200371602.0
796289,204283808.0
796293,204162433.0
796296,204138289.0
796305,204468137.0
796319,205280660.0
796331,202482488.0
796350,204085556.0
796368,204468438.0
796390,203121350.0
796424,201706783.0
796454,202955602.0
796462,203905116.0
796518,205997884.0
796561,203416843.0
796620,202142144.0
796674,204384309.0
796703,202611040.0
796719,204907508.0
796727,204197934.0
796751,203287005.0
796771,202703134.0
796787,203410068.0
796813,203639962.0
796853,203090814.0
796895,203591675.0
796922,202708101.0
796945,204612699.0
796979,205431975.0
797025,202576081.0
797048,203109881.0
797061,204572173.0
797113,202712445.0
797141,202285061.0
797156,202739915.0
797170,203931862.0
797189,203361731.0
797207,204680735.0
797230,204298419.0
797269,203971778.0
797299,202738675.0
797351,204430250.0
797410,198547514.0
797447,202742035.0
797481,203243758.0
797515,204817918.0
797536,203492388.0
797554,203406314.0
797558,205445179.0
797562,204047044.0
797590,204206088.0
797614,203194602.0
797631,204105162.0
797657,203999537.0
797687,202431807.0
797711,203295816.0
797761,204266483.0
