revision,value
795028,112045408.0
795054,111698157.0
795105,111563232.0
795161,112316320.0
795207,111766644.0
795254,112321497.0
795300,112312682.0
795324,112109064.0
795341,112198558.0
795354,113321413.0
795377,112563057.0
795390,112361749.0
795394,112104349.0
795428,111855667.0
795449,111915570.0
795467,112715294.0
795490,112633631.0
795529,111835292.0
795568,111802438.0
795623,110603144.0
795631,110471921.0
795639,111308400.0
795693,110904394.0
795733,110445222.0
795795,106151640.0
795811,111305022.0
795825,110802760.0
795842,110667386.0
795863,109549046.0
795880,110567712.0
795904,110802217.0
795938,111095285.0
795992,111510295.0
796033,110982324.0
796074,110501022.0
796123,111384752.0
796148,110581980.0
796190,110992855.0
796210,110824399.0
796214,110197408.0
796221,111102504.0
796224,110681354.0
796228,110969460.0
796233,111717271.0
796234,111220554.0
796235,110784953.0
796242,111091999.0
796248,110409465.0
796251,106240004.0
796253,111185176.0
796255,110936317.0
796258,110666381.0
796263,106607202.0
796264,111379952.0
796266,111044954.0
796268,111551793.0
796271,111467708.0
796273,111403664.0
796275,110983762.0
796277,109910001.0
796278,111246751.0
796283,107128942.0
796289,111120556.0
796293,111398042.0
796296,111517155.0
796305,111564939.0
796319,111012050.0
796331,110501831.0
796350,111110205.0
796368,111121032.0
796390,111242191.0
796424,110302877.0
796454,110509446.0
796462,110977383.0
796518,111624577.0
796561,111266377.0
796620,110411101.0
796674,111341131.0
796703,110992292.0
796719,111398626.0
796727,110874575.0
796751,111016174.0
796771,111221157.0
796787,111679731.0
796813,111496827.0
796853,111271870.0
796895,111754243.0
796922,110959606.0
796945,112164815.0
796979,112149033.0
797025,111273014.0
797048,111519511.0
797061,112192669.0
797113,112421988.0
797141,111231743.0
797156,111454795.0
797170,111924295.0
797189,111202295.0
797207,111434867.0
797230,111429779.0
797269,113123636.0
797299,111167813.0
797351,111409954.0
797410,106420911.0
797447,111181014.0
797481,111498484.0
797515,111562862.0
797536,111170218.0
797554,111430149.0
797558,111988898.0
797562,111667100.0
797590,112888327.0
797614,110731598.0
797631,112111552.0
797657,111339961.0
797687,111020405.0
797711,110926550.0
797761,111119058.0
797786,110725723.0
797844,110282090.0
797883,111116747.0
797905,111262669.0
797938,111582398.0
797960,111057997.0
797989,110664026.0
798022,112570752.0
798052,110351639.0
798067,110458709.0
798077,110908208.0
798092,110742971.0
798110,110428102.0
798156,110813607.0
798194,107046265.0
798234,110638554.0
798279,110851947.0
798317,110473224.0
798353,110987752.0
798387,111253028.0
798423,111678065.0
798430,110104606.0
798435,110455562.0
798441,110965372.0
798442,110726472.0
798444,112269226.0
798448,110799751.0
