revision,value
795028,50596268.0
795054,50421512.0
795105,50495071.0
795161,50658308.0
795207,50634814.0
795254,50403277.0
795300,50314374.0
795324,50803126.0
795341,50367701.0
795354,50813137.0
795377,50661815.0
795390,50254029.0
795394,50400370.0
795428,50687285.0
795449,50789284.0
795467,50853886.0
795490,50818126.0
795529,50811152.0
795568,50743141.0
795623,50413670.0
795631,50465039.0
795639,50802393.0
795693,50691505.0
795733,51010557.0
795795,50169729.0
795811,50885238.0
795825,50917094.0
795842,50793337.0
795863,50118717.0
795880,50345725.0
795904,50795370.0
795938,50406910.0
795992,50528671.0
796033,50704270.0
796074,50560820.0
796123,50947781.0
796148,50631246.0
796190,50736556.0
796210,50668859.0
796214,50234212.0
796221,50988105.0
796224,50911878.0
796228,50445111.0
796233,50492825.0
796234,50625163.0
796235,50248024.0
796242,50701725.0
796248,50729803.0
796251,50677468.0
796253,50746157.0
796255,50840496.0
796258,50322121.0
796263,50424457.0
796264,50775408.0
796266,50801343.0
796268,50109458.0
796271,50688785.0
796273,50722660.0
796275,50666746.0
796277,50170872.0
796278,50777067.0
796283,50709930.0
796289,50382780.0
796293,51101881.0
796296,50703814.0
796305,50703378.0
796319,50737355.0
796331,50407722.0
796350,50972351.0
796368,50672565.0
796390,50667398.0
796424,50755234.0
796454,50524723.0
796462,50791980.0
796518,51059625.0
796561,50788780.0
796620,50342603.0
796674,50530904.0
796703,51151041.0
796719,51009683.0
796727,51018246.0
796751,50679958.0
796771,51433017.0
796787,51549854.0
796813,51646048.0
796853,51947847.0
796895,51719821.0
796922,51436893.0
796945,51903819.0
796979,51874434.0
797025,51749065.0
797048,51850745.0
797061,52065808.0
797113,51410431.0
797141,51735223.0
797156,51771699.0
797170,51874034.0
797189,51427404.0
797207,51137881.0
797230,51902212.0
797269,51791443.0
797299,51661465.0
797351,52181630.0
797410,51452818.0
797447,51582744.0
797481,51356704.0
797515,51800369.0
797536,52006801.0
797554,51623840.0
797558,52353481.0
797562,51846795.0
797590,51647040.0
797614,51325891.0
797631,52104796.0
797657,51769107.0
797687,51542763.0
797711,51449828.0
797761,51595900.0
797786,50892142.0
797844,51301774.0
797883,51038190.0
797905,51843402.0
797938,51264548.0
797960,51340231.0
797989,51371610.0
798022,51523599.0
798052,51226016.0
798067,50860207.0
798077,50957329.0
798092,50870482.0
798110,50926146.0
798156,51268178.0
798194,51673301.0
798234,51247965.0
798279,51014760.0
798317,50778569.0
798353,51196841.0
798387,51184356.0
798423,51807485.0
798430,51070716.0
798435,51220535.0
798441,51382828.0
798442,51379813.0
798444,51608557.0
798448,50970375.0
