revision,value
795028,17682097.0
795054,18411529.0
795105,18135251.0
795161,17841222.0
795207,18089344.0
795254,18402176.0
795300,18792535.0
795324,17234695.0
795341,17000455.0
795354,16793506.0
795377,17266893.0
795390,17418169.0
795394,18417837.0
795428,17307504.0
795449,17375067.0
795467,17972637.0
795490,17806807.0
795529,17032918.0
795568,18418712.0
795623,17740171.0
795631,17230856.0
795639,18284430.0
795693,17888980.0
795733,17998190.0
795795,17099120.0
795811,17487687.0
795825,19292909.0
795842,17209760.0
795863,17316117.0
795880,17821676.0
795904,17622021.0
795938,18094924.0
795992,18565698.0
796033,18391861.0
796074,18212868.0
796123,17057519.0
796148,17830195.0
796190,18079265.0
796210,18216140.0
796214,17505499.0
796221,18586716.0
796224,18141613.0
796228,17840427.0
796233,18199662.0
796234,17670657.0
796235,17789285.0
796242,18339111.0
796248,17757529.0
796251,17243438.0
796253,17905083.0
796255,18490661.0
796258,17936502.0
796263,16474548.0
796264,18631622.0
796266,17155772.0
796268,17668526.0
796271,16803923.0
796273,18187135.0
796275,17703539.0
796277,18075957.0
796278,18444920.0
796283,17173000.0
796289,17974276.0
796293,17729431.0
796296,18218811.0
796305,18004136.0
796319,18012078.0
796331,17628762.0
796350,17794961.0
796368,17182468.0
796390,18473990.0
796424,18247838.0
796454,18599809.0
796462,17921081.0
796518,18033413.0
796561,18180455.0
796620,18426823.0
796674,18236562.0
796703,18279394.0
796719,17958313.0
796727,17427104.0
796751,17732921.0
796771,17992715.0
796787,18485313.0
796813,17832271.0
796853,17841543.0
796895,18256829.0
796922,18212233.0
796945,18831846.0
796979,18202445.0
797025,18988016.0
797048,17815230.0
797061,17684098.0
797113,18981149.0
797141,17671998.0
797156,17770099.0
797170,17228163.0
797189,18309964.0
797207,18277213.0
797230,17401405.0
797269,18127393.0
797299,17344433.0
797351,17241008.0
797410,17515458.0
797447,17954772.0
797481,17972953.0
797515,18354344.0
797536,18802060.0
797554,17205517.0
797558,18824012.0
797562,18306690.0
797590,17388968.0
797614,16761209.0
797631,17785133.0
797657,18474714.0
797687,17806193.0
797711,17264948.0
797761,18137292.0
797786,17941348.0
797844,17963118.0
797883,17721845.0
797905,17418991.0
797938,17770714.0
797960,17743699.0
797989,17773504.0
798022,17451590.0
798052,17171808.0
798067,18337239.0
798077,17995173.0
798092,17284532.0
798110,17998039.0
798156,18221170.0
798194,17105988.0
798234,17916299.0
798279,17641334.0
798317,17398735.0
798353,17500029.0
798387,17861086.0
798423,18402925.0
798430,17341304.0
798435,17944652.0
798441,17906843.0
798442,18326909.0
798444,17055175.0
798448,17851835.0
