revision,value
795028,4327268.0
795054,4341856.0
795105,4334443.0
795161,4344525.0
795207,4328599.0
795254,4336288.0
795300,4304093.0
795324,4329952.0
795341,4350201.0
795354,4347373.0
795377,4337257.0
795390,4346536.0
795394,4337896.0
795428,4313456.0
795449,4327429.0
795467,4337716.0
795490,4317608.0
795529,4310866.0
795568,4352470.0
795623,4339353.0
795631,4299232.0
795639,4326588.0
795693,4358621.0
795733,4350457.0
795795,3906061.0
795811,4319671.0
795825,4339215.0
795842,4331706.0
795863,4332595.0
795880,4332841.0
795904,4346169.0
795938,4339342.0
795992,4352367.0
796033,4353720.0
796074,4339678.0
796123,4356581.0
796148,4365969.0
796190,4337137.0
796210,4330979.0
796214,4327124.0
796221,4366231.0
796224,4370275.0
796228,4335989.0
796233,4353522.0
796234,4377520.0
796235,4355820.0
796242,4362310.0
796248,4322794.0
796251,3913668.0
796253,4354833.0
796255,4359204.0
796258,4334820.0
796263,3926664.0
796264,4350393.0
796266,4362105.0
796268,4349351.0
796271,4337922.0
796273,4336080.0
796275,4363891.0
796277,4344752.0
796278,4342037.0
796283,3942139.0
796289,4351797.0
796293,4343364.0
796296,4344929.0
796305,4343639.0
796319,4371512.0
796331,4367975.0
796350,4346895.0
796368,4344521.0
796390,4383431.0
796424,4363288.0
796454,4352624.0
796462,4362133.0
796518,4348758.0
796561,4327336.0
796620,4350244.0
796674,4336628.0
796703,4335570.0
796719,4337286.0
796727,4350325.0
796751,4318491.0
796771,4329390.0
796787,4309513.0
796813,4348522.0
796853,4324995.0
796895,4353323.0
796922,4332768.0
796945,4335992.0
796979,4327569.0
797025,4332046.0
797048,4335842.0
797061,4330286.0
797113,4347092.0
797141,4331643.0
797156,4349725.0
797170,4355215.0
797189,4331876.0
797207,4333697.0
797230,4342071.0
797269,4359528.0
797299,4336794.0
797351,4354249.0
797410,3916098.0
797447,4342151.0
797481,4306814.0
797515,4333476.0
797536,4379403.0
797554,4337035.0
797558,4364984.0
797562,4335119.0
797590,4320818.0
797614,4358505.0
797631,4343242.0
797657,4356188.0
797687,4327717.0
797711,4324440.0
797761,4350160.0
797786,4342556.0
797844,4339354.0
797883,4326509.0
797905,4356103.0
797938,4329970.0
797960,4346415.0
797989,4360356.0
798022,4354894.0
798052,4320500.0
798067,4340786.0
798077,4343127.0
798092,4335387.0
798110,4343107.0
798156,4348310.0
798194,3905164.0
798234,4358341.0
798279,4355508.0
798317,4325561.0
798353,4315689.0
798387,4345411.0
798423,4342461.0
798430,4335107.0
798435,4313796.0
798441,4347088.0
798442,4309955.0
798444,4353393.0
798448,4322650.0
